1 52346
1 39908
1 35449
1 35083
1 34702
1 34564
1 34129
1 34156
1 34189
1 34674
1 34352
1 34376
1 34246
1 34518
1 33991
1 33994
1 34248
1 34439
1 34262
1 34390
1 34229
1 34170
1 34258
1 34030
1 34431
1 34516
1 35412
1 34608
1 34438
1 34233
2 397104
2 391105
2 392539
2 381762
2 382549
2 409407
2 382147
2 381648
2 381888
2 380409
2 381239
2 407121
2 381892
2 380476
2 380197
2 394320
2 382139
2 380061
2 379729
2 379489
2 379961
2 380809
2 400226
2 380484
2 381153
2 388646
2 404909
2 381864
2 380958
2 380702
3 5213077
3 5241910
3 5173393
3 5242355
3 5215584
3 5181139
3 5134958
3 5239560
3 5163610
3 5154404
3 5196975
3 5184669
3 5157578
3 5144997
3 5172093
3 5139083
3 5217063
3 5141185
3 5169195
3 5748275
3 5490461
3 5504795
3 5362980
3 5323346
3 5177990
3 5172176
3 5182616
3 5256759
3 5203776
3 5142350
4 83087723
4 82372673
4 81985742
4 82360013
4 82120408
4 82709120
4 82292074
4 83151948
4 84219611
4 83804984
4 83573279
4 83870889
4 85512985
4 83896406
4 82948796
4 82451236
4 82316169
4 82552456
4 82560535
4 82561049
4 82996641
4 82211931
4 82268970
4 83152881
4 83384412
4 82280424
4 82820937
4 84454904
4 82297136
4 84340970
5 1327022756
5 1272631303
5 1283679014
5 1266029523
5 1278122545
5 1280851355
5 1304740589
5 1430350726
5 1373295340
5 1615987027
5 1512218307
5 1367544696
5 1573100426
5 1460518303
5 1462329874
5 1309568755
5 1300703593
5 1270514724
5 1269200759
5 1278709969
5 1265119381
5 1269685436
5 1265718135
5 1266455536
5 1328604148
5 1269561102
5 1271502149
5 1268860400
5 1274755193
5 1269128830
