1 99176
1 69478
1 67545
1 66576
1 67324
1 67831
1 67309
1 66774
1 66629
1 66932
1 67130
1 66881
1 66857
1 66800
1 66743
1 67070
1 66601
1 67229
1 66843
1 66981
1 66846
1 66809
1 66770
1 66798
1 66647
1 66976
1 66999
1 67008
1 66960
1 67332
2 932897
2 899028
2 893593
2 963743
2 1633760
2 1046370
2 937655
2 881540
2 1051600
2 825609
2 818278
2 804190
2 832004
2 895813
2 902138
2 936360
2 867201
2 1052031
2 880336
2 869571
2 866700
2 953986
2 961518
2 825569
2 806487
2 975695
2 1061864
2 814212
2 815663
2 1660662
3 14182512
3 13643303
3 13563590
3 14231947
3 13921740
3 14117430
3 15460900
3 13811156
3 13458748
3 13648163
3 14080939
3 13254854
3 13425977
3 13213693
3 13221218
3 13160174
3 13296617
3 13298102
3 13587578
3 13612234
3 14376468
3 13623987
3 14454203
3 14563045
3 13688565
3 14371311
3 21594852
3 13643526
3 14669614
3 14376874
4 220592351
4 225499454
4 226767281
4 226000686
4 252086642
4 222633046
4 215671022
4 224062999
4 241614929
4 236139048
4 227797120
4 214164715
4 215916434
4 242071604
4 230041419
4 230418405
4 214541371
4 215908077
4 231120806
4 227563353
4 228763928
4 223305542
4 214531233
4 221095429
4 229658174
4 231076091
4 223748874
4 212643566
4 212832285
4 232692849
5 3690666440
5 3732517049
5 3672216423
5 3657891315
5 3719543672
5 3749973925
5 3737333087
5 3693247285
5 3648964197
5 3722112174
5 3731395333
5 3694567288
5 3694639414
5 3736213430
5 3682138300
5 3636465439
5 3723724457
5 3749142378
5 3710195465
5 3667201998
5 3689754631
5 3723969510
5 3738486560
5 3710523426
5 3713718311
5 3724881542
5 3725338201
5 3812119355
5 3690205621
5 3736942909
